image,patch_index,row,col,exposureTimeNs,iso,gain_r,gain_ge,gain_go,gain_b,m00,m01,m02,m10,m11,m12,m20,m21,m22,mean_r,mean_g,mean_b
Image_1.png,15,2,3,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,106.71955108642578,47.39743423461914,65.40865325927734
Image_1.png,16,2,4,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,55.855770111083984,86.76763153076172,115.14263153076172
Image_1.png,17,2,5,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,31.739999771118164,37.06922912597656,119.8015365600586
Image_1.png,18,3,0,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,147.4382781982422,146.2299346923828,216.95986938476562
Image_1.png,19,3,1,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,121.28549194335938,121.4783935546875,196.9830322265625
Image_1.png,20,3,2,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,96.0088882446289,96.38814544677734,164.5111083984375
Image_1.png,21,3,3,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,63.09722137451172,63.160491943359375,116.93518829345703
Image_1.png,22,3,4,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,37.935184478759766,36.73147964477539,67.74073791503906
Image_1.png,23,3,5,,,,,,,0.8999999761581421,0.10000000149011612,0.0,0.05000000074505806,0.949999988079071,0.0,0.0,0.20000000298023224,0.8999999761581421,16.949628829956055,15.312592506408691,30.0755558013916
Image_2.png,0,0,0,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,121.57852935791016,150.23878479003906,160.90223693847656
Image_2.png,1,0,1,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,116.40384674072266,110.41345977783203,145.05128479003906
Image_2.png,2,0,2,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,55.01692199707031,59.65999984741211,52.6430778503418
Image_2.png,3,0,3,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,84.23076629638672,90.2099380493164,120.06089782714844
Image_2.png,4,0,4,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,142.39743041992188,119.07371520996094,122.28044891357422
Image_2.png,5,0,5,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,64.67845916748047,48.099998474121094,49.667694091796875
Image_2.png,6,1,0,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,159.76852416992188,104.63580322265625,79.80863952636719
Image_2.png,7,1,1,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,65.24691009521484,67.66049194335938,119.01234436035156
Image_2.png,8,1,2,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,145.8622283935547,82.586669921875,92.586669921875
Image_2.png,9,1,3,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,58.345680236816406,41.33796310424805,67.28704071044922
Image_2.png,10,1,4,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,138.4845733642578,148.2700653076172,112.99691009521484
Image_2.png,11,1,5,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,172.3851776123047,134.79852294921875,104.40296173095703
Image_2.png,12,2,0,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,62.00801467895508,96.85736846923828,132.86378479003906
Image_2.png,13,2,1,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,146.16026306152344,83.7724380493164,119.74038696289062
Image_2.png,14,2,2,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,176.07537841796875,157.0800018310547,119.19538116455078
Image_2.png,15,2,3,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,125.35416412353516,51.700321197509766,53.82852554321289
Image_2.png,16,2,4,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,61.19711685180664,96.99038696289062,74.6378173828125
Image_2.png,17,2,5,,,,,,,0.9800000190734863,0.0,0.10000000149011612,0.019999999552965164,0.9800000190734863,0.0,0.10000000149011612,0.0,0.949999988079071,38.31846237182617,37.012306213378906,77.93077087402344
